"","state","dist","pvi","metric","pvi_range","st_dist","st","candidate","incumbent","stance","st_metric","red_scale","req_majority","primary_scale","last_name","fec_id","fec_name","ttl_receipts","comp_scale","stance_scale","stance_key","stance_scale_reduced","stance_key_reduced","comp_key","primary_type","primary_type_reduced","primary_scale_reduced","red_key","dist_pol","fund_self","fund_indiv","fund_party","fund_other","fund_tot","fund_self_pct","fund_indiv_pct","fund_party_pct","fund_other_pct","X","Y"
"1","Alabama",4,"R+33",0.83,"R+21+","AL4","AL","Robert Aderholt","Yes","Fully denied",0.65,0,1,1,"aderholt","H6AL04098","ADERHOLT, ROBERT B. REP.",1388447.24,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.18,0,760390.98,0,623052,1383442.98,0,0.549636660847417,0,0.450363339152583,41,26
"2","Alabama",5,"R+17",0.67,"R+8 to R+20","AL5","AL","Dale Strong","No","Fully denied",0.65,0,1,1,"strong","H2AL05102","STRONG, DALE WHITNEY",1797583.5,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.02,240000,1277583.5,0,280000,1797583.5,0.13351257396388,0.710722756411594,0,0.155764669624526,39.5,5
"3","Alabama",2,"R+17",0.67,"R+8 to R+20","AL2","AL","Barry Moore","Yes","Fully denied",0.65,0,1,1,"moore","H8AL02171","MOORE, FELIX BARRY",810232.27,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.02,0,482219.35,0,322251.42,804470.77,0,0.599424327126267,0,0.400575672873733,39,6
"4","Kentucky",4,"R+17",0.67,"R+8 to R+20","KY4","KY","Thomas Massie","Yes","Accepted with reservations",0.66,0,0,5,"massie","H2KY04121","MASSIE, THOMAS H.",980039.98,3,1,"Acceptance with 
Reservations",0,"Questioned Election","Solid R","Closed","Closed",5,"Legislature",0.01,0,841084.41,0,137320.94,978405.35,0,0.859648212267032,0,0.140351787732968,39.5,7
"5","Louisiana",5,"R+17",0.67,"R+8 to R+20","LA5","LA","Julia Letlow","Yes","No comment",0.62,0,0,0,"letlow","H2LA05126","LETLOW, JULIA",2639177.45,3,0,"No Comment",1,"Has Not Questioned Election","Solid R","All Party","All Party",0,"Legislature",0.05,0,1685305.94,17000,927401.88,2629707.82,0,0.640871935346795,0.00646459651171437,0.352663468141491,39,8
"6","Ohio",12,"R+17",0.67,"R+8 to R+20","OH12","OH","Troy Balderson","Yes","Fully accepted",0.56,0,0,3,"balderson","H8OH12180","BALDERSON, WILLIAM TROY",1756518.26,3,2,"Acceptance",1,"Has Not Questioned Election","Solid R","Partially 
Open","Restricted",3,"Legislature",0.11,0,654505.26,25808.31,1075056.6,1755370.17,0,0.372858825554726,0.0147024886494454,0.612438685795828,39.5,9
"7","Tennessee",6,"R+17",0.67,"R+8 to R+20","TN6","TN","John Rose","Yes","Fully denied",0.64,0,0,3,"rose","H8TN06094","ROSE, JOHN W.",1695752.49,3,-2,"Full Denial",0,"Questioned Election","Solid R","Partially 
Open","Restricted",3,"Legislature",0.03,250000,1114967.49,0,330785,1695752.49,0.147427175530788,0.657506031437406,0,0.195066793031806,39,10
"8","Texas",4,"R+17",0.67,"R+8 to R+20","TX4","TX","Pat Fallon","Yes","Fully denied",0.55,0,1,1,"fallon","H0TX04219","FALLON, PATRICK",880885.73,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.12,150000,260829.19,0,470056.54,880885.73,0.170283153525486,0.296098780031321,0,0.533618066443192,39.5,11
"9","Texas",8,"R+17",0.67,"R+8 to R+20","TX8","TX","Morgan Luttrell","No","Fully denied",0.55,0,1,1,"luttrell","H2TX08182","LUTTRELL, MORGAN JOE",4260572.51,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.12,0,4006808.26,0,253764.25,4260572.51,0,0.940438931762248,0,0.0595610682377519,39,12
"10","West Virginia",2,"R+17",0.67,"R+8 to R+20","WV2","WV","Alexander X. Mooney","Yes","Fully denied",0.73,0,0,2,"mooney","H4WV02080","MOONEY, ALEXANDER XAVIER",4283104.11,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open to 
Unaffiliated","Restricted",3,"Legislature",-0.0599999999999999,0,1389133.29,5000,2810809.62,4204942.91,0,0.330357229511114,0.0011890767858249,0.668453693703061,39.5,13
